videos	dish	other_names	kept_video	kept_title	other_videos
2	صدور الفراخ المدخنة		a0Q-vZwVgWk	بقولك ايه هو صدر فرخه وهنعمل سندوتشات مدخنه للعيله كلها 👌❤️	ad2rgXBs9kU
2	زيتون مخلل		1LUqGUW8834	أحلي وألذ زيتون مخلل بالخلطة المميزه  وازاي تظبطي الملح عالشعره👌😉 فاطمة أبو حاتي	SB9ZccMAuo0
2	صينية الرقاق		Y2fixCQHj-0	صنيه الحبايب اللي تلم العيلة👏 | صنية الرقاق بكل أسرارها و ازاي تطلع معاكي مورقه 	yHhnjCaQ1ZU
2	تومية		2ye67swid94	من غير شواية ولا فحم 🤚🏻 السر اللي هيخلي الفراخ المشوية أطعم من المطاعم 🍗و سر توم	rmxJQVv9JJw
2	كيكة الشوكولاتة		dJxTf3uAGQU	أحلى لحظات السعادة بتبتدي  مع كيكة الشوكولاتة الهشة، متغطية بأحلي صوص شوكولاتة! 	w4r20JbY_-0
2	خبز البرجر		CYKoVg92Wfo	البرجر الفظييع وعيش البرجر بطريقة سهلة ولذيذة  👍 هتعملي أحسن ساندوتش برجر من مطب	kLjEh5I6XeU
2	كفتة الأرز		jMAiJURH21I	هو ليه محدش بيقول السر ده؟ إزاي كيلو اللحمة يبقى ٣ كيلو كفته بنفس الطعم؟	FzUKukicAME
2	بطاطس ودجز		54GeHUhgHM8	طريقة تقطيع وعمل بطاطس ويدجز بتتبيله وطعم رهييييييب هاتعجب كل اللي هايدوقها 😋😋 #	HpLbkfAAk4M
2	صوص جبنة		jPbxr3t5n44	منيو المطاعم في البيت👌كرسبي استربس مع صوص الجبنه الخطير	HpLbkfAAk4M
2	بيتزا كريب		UScb_T4t0ZU	بيتزا الكريب 🍕 أسهل طريقة لعمل البيتزا 🧀🤩 جبنة الموتزاريلا خطفت قلبي حاجة م الآخ	KgySZxu0sxY
2	صوص الباربكيو		HhVU7BAL-sc	هاتي كيلو طماطم وتعالي نعمل٣صوصات مش بنستغني عنهم 💪(الكاتشب_الباربكيو -وسويت تشي	GL0Q3TL_lUo
2	ناجتس		MrzhP4yUBlY	أفكار لانش بوكس part 3 .. اعمليه بكميه وانسى هم الصحيان بدرى كل يوم فى المدرسه .	gCejnOq6LFM
2	رز		rmxJQVv9JJw	أهو ده الأكل اللي هاينافس المطاعم 👌🔥شيش طاوق متبل على أصوله…رز بخلطه خطيرة 👌وتوم	7ZzCIxLKp3A
2	بطاطس مشوية		x_z88hmjPPI	جمعي كل برطماناتك الزجاج و تعالي نعمل بيها أطعم فراخ مشويه دايبه و معاها بطاطس ج	0PFo__3UayY
2	بطاطس		uP2a1oGWTfU	هو ده المكون الوحيد اللى عمرة ما خذلنى فى اى اختراع جربت اعمله .. ٤ وصفات بطاطس 	7ZzCIxLKp3A
2	كفتة البطاطس		fEGfYAJiWP4	معشوقة الجماهير بحشوتين ميختلفش عليهم اتنين .. والقرمشة فوق الخيال	bAzwoZ751Bg
2	شاورما		mPZLV7qX3ME	نداء عاجل الى أم زياد صحى زياد وقوليله سيخ الشاورما جاهز وبقى فى التمام	amRzhjwjI5E
2	كبسة		vfOreTR_9u8	الترند وصل " كبسه إلهام" .. يالا نعملها مع بعض واقولكم رأى فيها #فاطمة_ابو_حاتي	w2Tbgomq0e0
2	بيتزا		AFbyc1f2Ab8	الفيديو الذي طال انتظاره😂 البيتزا بعجنتي السحرية والمميزة جدا ونتيجة افضل من الم	woNqpEVZ4h8
2	كبدة		V8Y9TgFdSJo	في ربع ساعة اعملي احلي كبده😋👍 تووووووحفة انا جوعت  😁😁من مطبخي #فاطمه_ابو_حاتي	rmrBKQ-Ile8
2	كريب		mjrniYZi46c	كريب المحلات بأبسط طريقه و احلي طعم 😋💯أوعدك هاتتفرجي وتقومي تعمليه علي طووووول	nbz6MeN8MT4
2	رز مبهر		OeQLgpXcYgk	فراخ شواية سوري وسر طراوتها بس من غير شوايه.. معاها شوية توميه حارة ورز مبهر مفي	ir29Riy-uW0
2	أرز بسمتي		3rG-oWDrTdI	٣ في ١ 😉 شوفي الفيديو للاخر و هتعملي احلي عزومه في دقايق	WhsdjnrGSYc
2	بط بالبرتقال		G3bTxBrry4s	وصفة العزومات في رمضان «بط بالبرتقال» 🦆😋 بطريقة سهلة جدا 😍 واعرفي كمان سر  التتب	okRbUTeU_VM
2	رز بالخلطة		Tj0PJOEwJr4	اهم طبق علي سفره رمضان [ الرز بالخلطه ] بطريقه اقتصاديه و هقولك ازاي يطلع معاكي 	v0JUEr3m9QQ
2	صوص		1cSTBK01BBw	أحلى حاجة لما ندخل المطبخ مع أولادنا ونعلمهم بحب ! النهارده عملنا مكرونة بالستيك	Qv-O2GXeVHc
